"id","label","type","x","y"
"michael-oberst","Michael Oberst","person",-60.2247848510742,-37.9371490478516
"julia-lietzmann","Julia Lietzmann","person",-55.0478744506836,-42.8376197814941
"marcus-paul","Marcus Paul","person",-64.0135879516602,-40.8866081237793
"katja-zimmermann","Katja Zimmermann","person",-64.3600082397461,-43.7175445556641
"tarek-massalme","Tarek Massalme","person",-59.1660079956055,-48.0974082946777
"silke-gebel","Silke Gebel","person",-66.8428649902344,-36.6838645935059
"stefanie-remlinger","Stefanie Remlinger","person",-59.9758796691895,-46.5044631958008
"hanna-steinmueller","Hanna Steinmüller","person",-63.1552391052246,-44.6308631896973
"susanna-kahlefeld","Susanna Kahlefeld","person",-75.1202087402344,-31.1850261688232
"daniel-eliasson","Daniel Eliasson","person",-62.1266593933105,-32.260913848877
"beate-sattler-ashoff","Beate Sattler-Ashoff","person",-64.8510360717773,-37.2631721496582
"rita-keil","Rita Keil","person",-67.9541549682617,-26.213809967041
"bahar-haghanipour","Bahar Haghanipour","person",-73.2536773681641,-29.5600395202637
"klara-schedlich","Klara Schedlich","person",-71.8060607910156,-31.0036354064941
"catrin-wahlen","Catrin Wahlen","person",-74.3140029907227,-33.1346855163574
"louis-krueger","Louis Krüger","person",-74.4507675170898,-28.2840709686279
"hans-joachim-stricker","Hans-Joachim Stricker","person",-70.5911178588867,-50.9234619140625
"saro-gorgis","Saro Gorgis","person",-69.3119659423828,-49.2118721008301
"martin-reents","Martin Reents","person",-79.2921829223633,-31.249547958374
"alexander-kraess","Alexander Kräß","person",-64.6194458007812,-39.9749565124512
"bernd-steinhoff","Bernd Steinhoff","person",-63.1030464172363,-43.4404182434082
"ute-stumm","Ute Stumm","person",-66.9137878417969,-46.1836204528809
"marianne-wagner","Marianne Wagner","person",-61.2054786682129,-51.5733947753906
"ulrike-kipf","Ulrike Kipf","person",-64.9637298583984,-37.3148078918457
"willi-junga","Willi Junga","person",-71.0702590942383,-29.1374111175537
